name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Look Back at It,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,-5.075,0.0413,0.407,96.057,0.148,0.536
Pull Up (feat. NAV),A Boogie Wit da Hoodie,76vviJBqmRdMMb9u9npgfj,0.828,0.37,-7.446,0.264,0.487,149.95,0.119,0.557
Thiago Silva,Dave,3DKCTIiJ97bS9TGiqcABjo,0.667,0.673,-7.574,0.323,0.0641,144.256,0.0975,0.669
My Shit,A Boogie Wit da Hoodie,5uQOauh47VFt3B2kV9kRXw,0.812,0.621,-8.3,0.0515,0.244,77.998,0.099,0.847
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,0AtP8EkGPn6SwxKDaUuXec,0.852,0.666,-6.923,0.184,0.135,91.046,0.798,0.726
When I Grow Up,NF,5rLyYxZNzca00ENADO9m54,0.817,0.814,-3.985,0.185,0.32,109.994,0.152,0.247
Pop Style,Drake,23NWj2izXAJ4yL6Nah73wf,0.789,0.488,-9.093,0.227,0.179,133.114,0.104,0.0644
Rubbin off the Paint,YBN Nahmir,1QRJb5VY3sIkCKcTuIKCrk,0.596,0.699,-8.709,0.348,0.00582,108.031,0.174,0.435
RNP (feat. Anderson .Paak),YBN Cordae,5lw8Mgb4LyhriPIC86gV6e,0.611,0.714,-4.696,0.856,0.184,196.043,0.145,0.628
Gyalchester,Drake,0w7TC8SBiCocaPZX9r7oiz,0.876,0.381,-8.276,0.0653,0.0352,131.013,0.0942,0.116
Baby,Quality Control,2nKYHpmwjLaEOXS3o7QMiz,0.97,0.463,-7.259,0.366,0.0957,108.003,0.151,0.46
21,DaBaby,1AdXchAT6hBUm5d6y4nKjI,0.673,0.715,-5.239,0.0891,0.1,155.992,0.115,0.712
Bezerk (feat. A$AP Ferg),Big Sean,2B9wgj9XzbJZLty03PRbVo,0.684,0.687,-4.673,0.2,0.0164,184.026,0.253,0.265
Babushka Boi,A$AP Rocky,643PW82aBMUa1FiWi5VQY7,0.897,0.743,-5.446,0.222,0.304,134.979,0.137,0.905
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,2LNMhZ3YijTO7USmqjgJfG,0.794,0.448,-4.771,0.0539,0.591,120.055,0.109,0.588
Love Sosa,Chief Keef,4IowQDUOzUvNtp72HMDcKO,0.772,0.413,-8.193,0.089,0.0361,131.965,0.111,0.211
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,4X5f3vT8MRuXF68pfjNte5,0.852,0.693,-6.87,0.274,0.024,95.967,0.11,0.66
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,2rzBvHM9h36Tpdj7Jdajka,0.759,0.849,-4.234,0.335,0.0483,140.001,0.121,0.681
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,-5.616,0.148,0.0522,116.735,0.46,0.457
Walker Texas Ranger,DaBaby,0eBOVXdnrVQ0rITgKXBAA7,0.873,0.682,-5.869,0.377,0.025,157.943,0.0685,0.799
OUT WEST (feat. Young Thug),JACKBOYS,6gi6y1xwmVszDWkUqab1qw,0.802,0.591,-4.895,0.225,0.0104,139.864,0.196,0.309
Bandit (with YoungBoy Never Broke Again),Juice WRLD,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,-5.884,0.343,0.0687,180.051,0.132,0.425
Turks (feat. Travis Scott),NAV,0lSZh5W0wDeurkGzLYY6hf,0.893,0.618,-4.425,0.112,0.0827,119.099,0.542,0.389
Yes Indeed,Lil Baby,6vN77lE9LK6HP2DewaN6HZ,0.964,0.346,-9.309,0.53,0.035,119.958,0.108,0.562
Started From the Bottom,Drake,5DI9jxTHrEiFAhStG7VA8E,0.794,0.522,-7.829,0.159,0.0328,86.318,0.156,0.567
Jumpman,Drake,27GmP9AWRs744SzKcpJsTZ,0.852,0.553,-7.286,0.187,0.0559,142.079,0.332,0.656
I'm Upset,Drake,3qN5qMTKyEEmiTZD38BNTT,0.899,0.586,-7.866,0.344,0.279,150.001,0.0836,0.492
Plain Jane,A$AP Ferg,4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,-5.482,0.275,0.0651,170.142,0.087,0.52
Hot (feat. Gunna),Young Thug,5Z8HZM6iQMhhqyPcCGY5g9,0.855,0.651,-8.044,0.235,0.063,111.997,0.0772,0.559
Magic In The Hamptons (feat. Lil Yachty),Social House,2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,-5.339,0.0385,0.66,96.051,0.0914,0.803
Eastside (with Halsey & Khalid),benny blanco,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,-7.648,0.321,0.555,89.391,0.116,0.319
Let You Down,NF,52okn5MNA47tk87PeZJLEL,0.662,0.714,-5.68,0.121,0.312,147.997,0.179,0.464
Lie,NF,07FkzikE6FuHIa8Ma7zJGc,0.513,0.661,-6.419,0.24,0.161,94.791,0.246,0.179
3 A.M.,NF,1CDPxTsKRhI0wWel01w4Vy,0.736,0.727,-5.157,0.124,0.489,97.004,0.16,0.139
Lick,Offset,4W9XGjEUVG9junR70FOLii,0.959,0.539,-6.611,0.0958,0.172,103.0,0.108,0.657
Innermission,Logic,1zucHJN4WKHIzSL4FyiJw9,0.741,0.759,-4.387,0.21,0.58,95.101,0.103,0.49
Lord Willin',Logic,4q6oNFTjZmJqkIgPdp8iR1,0.648,0.85,-4.248,0.0561,0.123,170.061,0.0529,0.567
White Iverson,Post Malone,6eT7xZZlB2mwyzJ2sUKG6w,0.675,0.562,-7.678,0.0352,0.233,130.098,0.0816,0.309
Can't Tell Me Nothing,Kanye West,2MIBAmYwiuGoKUlpq9B9sZ,0.596,0.62,-6.133,0.039,0.0122,80.029,0.82,0.102
Regulate,Warren G,7nYvUtkQMx1v80S2FH2s9J,0.849,0.521,-12.999,0.216,0.304,95.265,0.115,0.763
Headlines,Drake,6LxSe8YmdPxy095Ux6znaQ,0.636,0.566,-7.16,0.106,0.365,151.894,0.0917,0.425
chateau,blackbear,13JyykwyYQ3T5QxxL34ukQ,0.667,0.635,-5.761,0.0518,0.0503,98.011,0.367,0.478
